V 1468
n -0.3540 -18.0960
n 2.2410 -18.5420
n -11.0390 -13.3710
n 23.7540 -1.7860
n 11.9720 16.0850
n -16.0450 13.2360
n -15.3790 11.5870
n 22.9310 0.7750
n 10.2900 -14.9990
n 13.7200 -12.5390
n -10.2700 -15.5310
n -12.1480 -15.0310
n -11.0920 7.8880
n -0.2400 15.1670
n -1.2940 17.3740
n -17.6920 -0.9680
n 6.4410 13.8780
n 14.1790 16.6040
n 15.6310 16.8190
n 0.7790 -19.4120
n -19.6180 -2.3150
n -18.9130 -4.0850
n 14.0450 -14.3300
n 12.5320 -13.9900
n -14.6280 15.7640
n -5.4680 14.9750
n -6.9420 13.9630
n 1.8730 12.3530
n -12.9330 8.1190
n -13.4610 6.9830
n -12.8100 5.5780
n 2.2150 14.1030
n 4.8840 14.1840
n 24.0920 -3.3650
n -17.2650 16.1700
n -17.5910 14.8870
n -18.6740 0.1420
n 10.7360 16.2150
n 4.3610 -19.7470
n -12.3720 -12.2650
n -13.3970 -13.4140
n -14.8820 7.2860
n -15.6030 6.3550
n -15.3140 4.7680
n 6.2510 15.4250
n 4.2600 15.8580
n 1.4220 15.9560
n 16.3270 -14.1180
n -15.8370 -6.5370
n 15.5130 -15.8520
n 13.0840 -16.4770
n 14.5630 -17.0730
n 18.6640 -10.8910
n -11.4190 -10.3230
n -12.4360 -16.4490
n -11.4190 -17.3640
n -8.8530 13.3330
n 7.4830 15.7780
n -4.9620 -18.8580
n -16.9780 0.6060
n 23.7030 1.7280
n 23.7410 3.4320
n 21.6150 2.5770
n 11.3740 -15.6160
n -5.7360 16.1790
n -4.8270 17.4060
n 21.5380 4.0220
n 24.8740 -0.5450
n -13.8340 -15.5300
n -13.8040 -16.7520
n -17.4670 -8.4510
n -18.8400 -5.3750
n -15.5450 8.9700
n 0.5550 17.4190
n 3.1440 16.4420
n 2.3260 18.4380
n 18.2340 -14.8130
n 17.3590 -16.8720
n -13.8010 -10.7950
n 12.9020 17.4280
n 10.7070 -10.5350
n 2.0960 -20.7910
n 19.6820 -13.6550
n 17.8770 -12.6520
n 8.6350 15.7890
n 20.0330 7.3400
n -3.5930 -18.8310
n -1.2990 -19.5200
n -0.1920 -20.6180
n -10.5210 -18.4400
n -13.0310 -18.0700
n -12.0200 -20.0200
n 24.9670 -4.3410
n 26.2500 -4.7260
n 26.2860 -2.8330
n -15.0850 -14.0380
n -15.2380 -11.8740
n -7.5510 16.1840
n 20.4220 8.8640
n -15.7570 -17.1320
n 8.8520 17.4710
n -2.5320 -20.1150
n 11.3790 18.3440
n -15.2550 18.1760
n 19.7050 -16.5910
n 21.2790 -15.5020
n 5.0880 17.1410
n 4.2730 19.2160
n 23.3870 6.6320
n -9.3140 -19.7160
n -16.4170 1.8800
n -19.0500 2.3540
n 8.6770 -16.3490
n 21.3630 7.8150
n 6.7000 17.3260
n -3.0370 17.8920
n -6.3460 -19.9380
n -10.3680 -21.1130
n -8.1240 -21.5810
n 9.7400 18.4270
n 22.8940 -8.4850
n 14.3240 18.8600
n -5.9950 -21.8600
n -1.4620 -21.5780
n 18.5680 -18.9210
n 6.4270 18.6600
n -3.7740 -21.6280
n -5.8290 -23.5200
n -4.0960 -23.1710
n -16.8310 -9.8800
n -15.1920 -10.2500
n 16.7200 17.6930
n 16.7680 19.4400
n 15.0180 19.8750
n 21.9510 9.3420
n 23.7470 9.0790
n 11.8190 19.7380
n 10.2920 20.5140
n 8.9290 20.0720
n 7.4040 19.4000
n -12.3710 -21.2680
n -11.0900 -22.9800
n 0.8450 -21.9810
n 0.8850 20.1340
n -20.6750 -7.1760
n -18.9030 -8.5940
n -17.2840 8.0560
n -17.0080 6.8490
n 17.7460 12.4760
n -8.6890 -22.9120
n -7.3320 -23.8650
n 7.2590 -17.9810
n 25.1250 1.2900
n -17.7940 -10.8840
n -16.6860 -11.9880
n 13.3240 21.0950
n 11.8230 22.0440
n -21.5360 -4.5310
n -21.8550 -5.7540
n 21.3290 -11.2950
n 23.0190 -10.6710
n -19.5180 -9.6250
n -2.6970 -22.3440
n -1.9210 -23.7010
n -0.4950 -23.3560
n -16.8820 4.1490
n -1.2550 20.0080
n 19.9980 10.9920
n 20.1030 12.2720
n -19.1220 -12.8470
n -17.8300 -13.5320
n 20.0310 -11.7540
n -16.4930 -14.1330
n -17.2350 -16.2740
n 5.9750 21.1670
n 25.9720 2.3190
n 27.9070 -0.8710
n 27.2350 1.1980
n 25.8950 4.8950
n 25.0460 6.6780
n 10.2870 -17.4380
n 12.1020 -18.2410
n 6.7310 -19.7710
n -2.7230 -25.1080
n -5.2700 -25.2000
n 3.2820 -23.5890
n 4.2340 -22.2030
n -20.0110 0.1450
n -20.4560 -1.1650
n 5.8810 -23.3940
n 6.2890 -21.8230
n 4.1900 -24.4230
n 9.9650 22.7300
n 8.4030 22.0130
n -18.7170 17.5350
n -17.2790 18.9150
n 18.3010 17.0060
n -2.8090 19.9250
n 7.5150 -24.7880
n 8.0220 -22.3200
n 21.8560 -13.1160
n -22.2220 -8.6520
n 3.4820 21.4990
n -20.3050 -10.8170
n -20.4270 -12.8720
n 22.1820 10.6560
n 17.8390 21.9490
n 15.4450 21.5950
n -6.7910 18.2970
n -0.6720 -25.6470
n -7.5110 -25.6650
n -5.7990 -26.3880
n -18.4330 -18.0900
n -17.0620 -18.6980
n -18.8260 8.6180
n -19.6630 5.3760
n -18.3720 5.4920
n -21.4450 -3.2260
n -18.8980 -15.4090
n 1.3900 -23.8040
n 10.4030 -22.7030
n 9.8590 -25.5260
n -10.2240 -24.0440
n -9.6580 -25.1640
n 0.4860 -26.5820
n 2.6290 -25.5680
n -1.0630 21.6810
n 0.3090 22.6120
n 9.9190 -19.0660
n 11.9690 -20.2070
n 8.4140 -19.3760
n 8.7700 -20.6860
n 10.1250 -21.1820
n 23.8060 10.5710
n 24.1410 -8.0690
n 25.0480 -6.8260
n 21.5070 13.1910
n 18.5270 14.4100
n 25.1570 -9.9250
n 23.6670 -12.1040
n 25.2180 -12.3420
n -22.1140 -10.8120
n -22.2990 -12.9500
n -2.4300 22.0110
n -14.3730 -19.2980
n -24.5360 -6.4310
n -13.6550 -21.9380
n -10.8310 14.1240
n -11.3970 16.4100
n 13.9020 -20.5500
n 13.7240 -19.0190
n -9.2830 16.3610
n -19.6070 -20.3120
n -16.9840 -20.0460
n -12.6980 -23.3420
n 5.9510 23.7750
n 4.7850 23.8330
n 26.8010 8.2090
n 25.8400 9.2200
n 5.4300 -25.8150
n -20.2770 -16.1590
n 19.4340 18.9980
n -16.4080 10.4160
n -15.5070 -21.5910
n -16.4100 -22.3830
n -14.7190 -23.6330
n -21.3380 -18.0210
n -23.5750 -10.6250
n -24.5220 -11.6110
n 7.1050 24.7990
n 15.1320 -18.2650
n 22.9010 -16.7580
n 21.6900 -18.8960
n 13.9010 23.1170
n 12.6330 23.5210
n 26.7410 -7.8340
n 28.2370 -6.8510
n 22.8890 -13.7400
n 16.2920 24.3360
n -14.3180 -25.1740
n -12.5060 -24.7850
n 19.6170 16.1320
n -21.2990 0.8340
n -22.7190 0.0390
n -22.0830 -1.0300
n -20.7370 15.5480
n -19.6450 14.5660
n -3.0060 -26.6740
n -4.0980 -27.0430
n -5.1130 20.7390
n -4.2520 21.9400
n 24.3060 11.9070
n 25.9570 11.3620
n -17.0750 -24.0540
n -16.3600 -25.2100
n 2.2180 -27.8320
n 3.7770 -27.0120
n -2.1500 -27.6540
n 26.6170 3.3680
n -23.2420 -15.1120
n -21.0720 2.0560
n -2.6440 -28.9470
n -4.6290 -28.7570
n -15.5930 -19.9330
n -10.1700 17.4230
n -7.9420 18.9430
n 16.1130 -19.9110
n -22.5140 -17.4660
n -0.1560 -29.5120
n 12.8560 -22.3590
n -12.4440 -26.9590
n -10.1190 -26.4670
n -9.7240 -27.6140
n -8.2340 -27.4420
n -6.1260 -28.3550
n -18.4630 -22.1050
n 2.4950 23.5390
n 30.0420 1.5820
n 28.6030 2.4300
n 14.3850 -22.3650
n 16.1690 -22.4130
n 12.5730 25.8660
n 11.6630 24.4790
n 13.6580 25.1340
n -0.6630 24.3520
n -2.3280 23.9960
n 26.5950 -9.8090
n 29.6370 -9.0610
n 12.3260 -24.4490
n -23.5950 -9.3770
n -23.9230 -3.9980
n 20.5970 17.5670
n 12.8430 -26.6870
n 11.1570 -26.8900
n 24.1160 -16.2770
n 23.9460 -14.4180
n 10.7310 26.4200
n 10.2120 24.4100
n 17.4220 -21.3270
n 15.4290 -25.7540
n 14.4920 -24.4060
n 14.6810 -26.6820
n 2.3180 -28.9780
n 4.2360 -28.8920
n -25.6570 -13.4220
n -7.2440 -29.1960
n 17.2480 -24.0740
n 18.6740 -23.1140
n -22.1240 3.1590
n -23.2770 1.8960
n 29.8860 4.3770
n 28.4230 3.5840
n 31.3040 3.5910
n 22.0460 14.4730
n 22.9130 17.2830
n -14.7850 -27.3210
n 7.9240 -26.6480
n 8.9960 -27.2080
n 20.7550 -24.3040
n 19.8880 -22.1440
n -25.4610 -9.1900
n -26.3360 -10.2010
n 27.4270 -11.6180
n -20.8890 7.7680
n -18.8400 10.1030
n -17.5620 10.7420
n -26.9560 -12.2220
n -6.3440 21.4980
n -7.8600 20.9500
n -4.9990 -31.0390
n -6.7520 -31.4770
n 13.8390 27.9150
n 14.7160 25.6620
n 15.3680 27.1130
n 18.5470 -26.4150
n 19.7890 -26.0410
n 8.3810 26.7610
n 2.0830 25.2650
n -18.7240 -23.8710
n -14.2720 18.9400
n -11.8770 -29.1700
n -15.1420 -29.1520
n -12.4710 -30.3120
n 27.5620 5.4590
n 9.4720 28.6720
n 11.5040 28.0210
n 19.2370 -20.8530
n 8.6010 30.5500
n 6.4040 28.2870
n 13.1190 29.1520
n 5.7970 30.7670
n 22.2580 -21.2350
n 22.5070 -22.7930
n 6.6540 -28.1280
n 4.3650 26.9700
n -17.3340 20.7630
n -19.9120 19.2120
n 5.3970 32.5480
n 3.8690 31.7270
n 4.5750 30.3650
n 25.8510 -16.9850
n 25.7940 -14.0350
n -4.0780 24.2470
n -18.4300 -26.3260
n -16.7640 -26.6400
n 26.8150 13.2290
n 24.9380 13.4390
n -3.0910 -30.0470
n 7.5660 33.5100
n 29.7400 -5.9600
n 28.4090 -3.5690
n -6.7300 24.3910
n 11.6180 30.4840
n 5.8820 -30.4320
n 3.8750 -31.5370
n -10.1490 -28.6920
n -9.2040 -29.6540
n -9.3650 -30.9830
n -8.4020 -32.0150
n -18.7360 -28.9330
n -16.7040 -28.3000
n 10.7620 -28.0970
n 12.3310 -28.9830
n -26.6450 -14.9440
n -25.6040 -16.8730
n 23.4960 18.6450
n 21.3370 19.9300
n 19.3040 24.7100
n 10.4740 33.4570
n 11.6590 32.4680
n 18.0570 26.6260
n 16.7160 26.2310
n 25.3230 -19.1170
n 28.0340 6.5370
n 28.3930 -13.9270
n -21.1260 4.7070
n 24.7700 15.1880
n 3.7500 28.3010
n 29.4240 6.4610
n 4.7490 34.0090
n 7.2250 35.3080
n 5.0440 35.1310
n 2.8450 31.1680
n 2.5400 29.2170
n 7.6930 -31.9050
n 8.8080 -28.8980
n 3.2070 33.3800
n -23.8700 -18.0640
n -24.2270 -19.4550
n -22.3130 -20.1860
n 1.2290 32.1080
n 11.5440 -30.2400
n 12.5710 -31.1810
n 14.4890 -29.6400
n 0.7690 29.1810
n 3.0720 35.0600
n 30.6760 -3.0030
n -20.5890 -21.1330
n -20.7980 -22.3940
n 1.2120 34.6410
n -10.3940 18.6070
n -12.3660 19.6330
n 11.3240 -32.4970
n 12.7370 -34.4090
n 14.2230 -32.9720
n -9.8460 21.4150
n 6.7760 37.6400
n 4.9260 37.0080
n -21.6970 -23.2820
n -20.4920 -25.4190
n 10.3190 -30.3630
n 9.4850 -32.5530
n -27.0730 -17.5950
n -26.4220 -19.4690
n 16.8810 28.6970
n 18.5500 28.1980
n 9.8330 -33.6900
n 10.6250 -34.5850
n 2.7960 36.9290
n 1.1770 36.8990
n -1.2840 26.3940
n -3.7080 26.2330
n 28.1930 9.9160
n 9.0540 36.2110
n 8.8910 38.5010
n 10.4200 -36.2990
n 8.4620 -35.5590
n 20.1530 21.5370
n 20.8560 22.9900
n -22.3110 -2.1650
n 5.7780 39.3420
n 3.8850 37.9010
n 10.6760 35.5610
n 11.2070 38.0410
n 0.9970 26.8320
n 23.7370 -23.3620
n 22.7240 -25.2000
n -0.3430 34.3020
n -1.2260 36.8280
n 7.2640 -34.1420
n -1.3960 32.5470
n 29.3520 -10.9620
n 23.1060 21.9050
n 24.0500 19.8800
n 12.3310 -36.5190
n 24.8500 -21.0390
n 4.5110 40.8810
n 2.5730 39.7700
n 17.6780 -27.4320
n -21.1940 -28.0070
n -15.8280 -30.4880
n -14.9740 -31.7000
n 31.1200 -1.5050
n -2.4920 33.1010
n -2.9550 34.7460
n 4.8390 -33.0400
n 5.6400 -34.8380
n -18.5200 -30.4650
n -1.6110 -31.5360
n 10.1620 -37.7680
n 8.6830 -37.9410
n 7.7470 40.3930
n 6.5730 40.3680
n 11.2560 -38.8920
n 13.1840 -37.9080
n -20.1990 11.1760
n -21.2160 10.3110
n -21.6790 9.2000
n 5.7840 -36.7040
n 6.0570 41.9200
n 10.0780 41.0220
n 11.6040 40.0990
n 8.1760 -40.4290
n 9.4470 -40.3610
n 1.4790 -29.8050
n 1.9690 -31.5160
n 8.7860 41.4070
n 7.4620 42.5230
n -0.8000 29.2650
n -1.7290 28.5260
n 21.2400 -26.7380
n 2.6010 -34.1470
n 32.7050 5.4030
n 31.4940 6.6650
n 23.7030 -27.0390
n 23.8400 -25.7070
n 22.6710 -27.6680
n 5.2370 -38.0000
n 2.5080 -35.6580
n 3.3810 -37.1290
n -1.6340 30.8530
n -3.6260 29.3610
n -28.3560 -14.6340
n -28.7700 -15.9760
n 31.7710 -9.4210
n 30.8460 -12.1400
n 32.8010 2.4050
n 31.4390 0.3820
n 33.0850 1.0430
n -4.4720 32.1350
n -4.4620 30.4200
n -11.5690 -32.3190
n -24.5990 -2.6250
n -24.6270 -0.6990
n -17.2140 -33.1760
n 1.0260 39.2380
n -0.1250 39.5380
n -1.4670 38.5680
n 15.3130 -35.8750
n 15.8250 -34.2280
n -24.8760 -21.4700
n -23.1310 -21.4250
n 28.9410 11.8980
n 31.1990 -6.2570
n 33.5280 -7.0640
n 5.4350 43.8580
n 3.2400 42.6240
n 25.4690 -27.8390
n 25.7410 -24.9610
n 22.9950 24.2250
n 13.0010 40.8230
n 12.5510 37.9380
n 13.6860 38.8430
n 23.1260 -29.2550
n 32.1770 8.2290
n 34.3310 6.3360
n 34.4010 7.7840
n 33.4080 -10.2510
n 34.7410 -9.9490
n 12.1540 -40.8260
n 10.8330 -41.9700
n 16.4550 30.0580
n 14.7300 30.6460
n 17.2290 -37.5230
n 16.0440 -38.9120
n 20.5180 -29.4190
n -3.9520 28.0610
n -22.2530 -25.5790
n -23.0750 -26.9800
n -0.4030 41.3590
n -2.2210 40.8680
n -2.6160 39.6240
n -4.2470 -32.5110
n 0.3800 -32.0640
n -0.2660 -34.7380
n 5.8540 -41.3660
n 32.9330 -12.1840
n 7.5720 43.6730
n 7.3020 44.9020
n 18.6090 -33.2910
n 15.9290 -31.4870
n -5.7880 26.0350
n 26.4980 -28.3790
n 26.3840 -30.8760
n 14.1100 -41.0920
n 1.4960 42.1130
n 34.9260 -12.6910
n 36.1360 -10.0550
n 18.5230 -34.7220
n 11.7080 43.0260
n -22.1650 -29.8600
n -20.2440 -30.9830
n -4.3980 -34.5650
n -6.3310 -34.5400
n 31.4620 -14.5550
n 32.7450 -14.2780
n 23.0810 -32.0040
n -12.1680 21.0290
n -13.5500 21.6660
n -19.2740 22.1810
n -20.6010 20.7300
n 30.0950 8.6060
n 34.0620 -16.8040
n 34.3900 -14.9940
n 31.9360 -16.9020
n 10.5840 -43.1430
n 12.1370 -43.6270
n 13.5110 -43.0610
n 20.6790 26.7350
n -1.3110 42.7730
n -3.2500 42.0650
n 28.2830 -26.7940
n 27.1430 -25.2900
n 6.3770 -42.6670
n 8.2500 -43.2740
n -16.0590 22.7290
n -12.7660 23.7740
n -15.0480 23.9240
n 36.7380 -13.3540
n 38.3640 -12.1930
n 0.6720 44.6850
n -1.0870 44.6040
n -17.8200 12.3860
n -19.0340 12.5760
n 16.5950 -41.5500
n 2.7290 44.9810
n 31.0040 11.0160
n 32.4630 10.1090
n 3.1280 -40.1000
n 3.3790 -41.6930
n 5.6590 47.4080
n 4.6310 45.2710
n -1.5380 -33.9610
n 36.4030 -15.0920
n 30.0720 -29.3300
n 28.4610 -30.6040
n 29.1090 -15.3640
n 1.7000 -38.5940
n 15.1880 38.7640
n 14.6910 41.6840
n 19.6020 30.5440
n 18.2870 31.4540
n 36.2710 -17.2110
n 34.2130 -19.1530
n 31.6830 -18.7890
n 21.7040 -32.1300
n 5.3760 -44.0700
n 38.0140 -15.7320
n 38.9640 -13.8830
n -23.1430 -23.3830
n -23.3930 -24.6350
n 37.6650 -17.1680
n 7.6640 -44.7570
n 6.1530 -45.1060
n -3.0110 45.5220
n -24.7010 -25.5880
n 36.3350 -19.9580
n 0.3000 -36.5470
n 40.0760 -9.4790
n 38.2310 -8.6620
n 23.0590 26.9180
n 4.6730 48.4980
n 2.4660 46.6700
n 2.9300 45.2400
n 28.1390 -23.2920
n 26.6750 -22.2930
n -12.4250 25.3650
n -13.5630 26.2680
n -15.2740 25.7530
n 9.9880 -45.3950
n 8.4600 -45.6980
n 40.5310 -14.8260
n 39.4260 -16.3460
n 17.1400 -29.3740
n 19.0650 -30.7740
n 10.9280 -46.4500
n 12.5180 -45.6780
n 41.4650 -12.4050
n -28.2900 -12.6630
n 29.8010 -25.8430
n 31.6620 -27.2680
n 40.2990 -18.0020
n 38.5120 -18.6260
n -5.2610 39.9270
n -3.8450 39.3580
n 3.0330 -43.9260
n 3.7820 -44.9120
n 35.6200 -7.3460
n -25.4170 -7.2210
n -28.2370 -7.4790
n -28.4990 -9.0110
n 38.0300 -7.2670
n 36.8850 -6.4320
n 27.5780 -16.6450
n -6.0060 27.6580
n 41.4750 -15.6520
n 41.7180 -17.2870
n -5.9510 43.1660
n -6.4540 42.0480
n -21.5650 13.0050
n -9.2820 23.8880
n -1.3940 -38.5950
n 0.0500 -39.8560
n 40.5730 -7.4140
n 39.8120 -5.1760
n 34.0910 3.4310
n 1.4210 -42.6150
n 1.6070 -43.9640
n 43.4040 -14.3330
n 43.1550 -12.8740
n -3.2920 -36.8600
n 37.9730 -20.0780
n -4.9800 44.7370
n 8.3390 -47.2260
n 10.3640 -47.8680
n 29.9360 -17.3500
n 30.6120 -24.0870
n -13.3130 28.2010
n -11.1680 26.2810
n -12.0100 28.3110
n -9.5980 -33.6590
n -7.8080 -34.6220
n 1.7940 49.6510
n 1.6680 48.3360
n 3.3930 -46.5590
n 6.0060 -46.6540
n -24.5170 -28.4030
n -23.4000 -29.5410
n 30.4930 -18.9800
n 9.1050 45.6710
n 8.0240 47.8730
n -11.5270 23.5660
n 24.7800 26.9540
n 25.9150 24.1300
n 25.8340 25.5890
n 0.4350 -45.2080
n 32.8390 -21.7250
n 31.7770 -20.9350
n 14.6870 32.5350
n 17.6920 32.7130
n -22.6480 6.3020
n -13.4860 -34.0090
n 28.5090 -18.0330
n 10.6380 46.2190
n 11.5380 48.3230
n 10.4510 48.9050
n 25.9370 -33.2440
n 23.6130 -34.3370
n 35.9760 -22.3550
n 21.2760 28.9760
n 23.0160 29.4550
n 33.9330 11.4490
n 35.3260 10.1890
n -26.1460 -25.1420
n -25.7740 -28.2690
n -0.0290 -42.3500
n -0.5030 -43.8960
n 27.9510 -19.8070
n 29.0330 -20.3000
